"k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae"	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae"	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae"	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae"	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae"	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae"	"k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae"	"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__"	"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae"	"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae"	"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae"	"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae"	"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7"	"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]"	"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]"	"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]"	"k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__"	"k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__"	"k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae"	"k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae"	"k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__Gemellaceae"	"k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__"	"k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae"	"k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae"	"k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae"	"k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae"	"k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae"	"k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae"	"k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__; f__"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98; f__"	"k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae"	"k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae"	"k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Victivallales; f__Victivallaceae"	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__"	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__"	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae"	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria"	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae"	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae"	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae"	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae"	"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae"	"k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae"	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Succinivibrionaceae"	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae"	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae"	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae"	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae"	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae"	"k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Dethiosulfovibrionaceae"	"k__Bacteria; p__TM7; c__; o__; f__"	"k__Bacteria; p__TM7; c__TM7-3; o__; f__"	"k__Bacteria; p__TM7; c__TM7-3; o__CW040; f__"	"k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae"	"k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__"	"k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28; f__"	"k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae"
"1.49.1"	0	0	0	0.025	0	0.05	0.075	0	33.725	4.425	0.05	0.225	0.325	4.1	0.1	3.15	0.325	0.125	0	0	0	0	0	0.075	0	0	0	0.2	0	0	2.35	0	0.025	0	0	20.55	0	0	5.575	2.1	0	0	0	2.55	0	0	0	0	0	0.025	1.55	0	0.025	0	0.3	0	0	17.825	0	0.05	0	0.05	0	0	0	0	0	0	0	0.05
"1.203.2"	0	0	0	0	0	0.25	0	0	0.05	0	0.025	0	0	0	0	0	0	0.025	0	0.125	0	0.025	0	0	7.65	0	0	1.025	0	0	0.1	0	2.4	0	0	0.175	0	0.025	0.5	0.425	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	87.1	0	0.05	0	0.025	0	0	0	0	0	0	0	0
"2.55.2"	0	0	0	0	0	0.4	0	0	42.725	27.8	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0.1	0	0	0	0	3.4	0	0	6.6	3.55	0	0	0	0.8	0	0	0	0	0	0	1.325	0	0	0	0	0	0	12.95	0.025	0	0	0.05	0	0	0	0	0	0	0	0
"2.55.1"	0	0	0	0	0	1.775	0.15	0	51.65	0.925	4.75	1.975	0	0.25	0	0	0	0	0	0	0	0	0	0	0	1.375	0	0.1	0.025	0	3.175	0	0.1	0	0	4.275	0	0.125	19.15	5.875	0	0	0	0.325	0	0	0	0	0	0	0.525	0	0	0	0	0	0	3.15	0.25	0	0	0	0	0	0.025	0	0	0	0	0.05
"2.26.1"	0	0	0	0	0	1.75	0.55	0	3.075	0.225	0.65	0.85	0	0.125	0.1	0	0	0.025	0	0.275	0	0	0	0	0	0.025	0	0.15	0	0	14.15	0.15	0.575	0	0	11	0	0.05	51.775	2.875	0.15	0	0	2	0	0	0	0.175	0	0	0	0	0	0	0	0.025	0	1.925	0	0.025	0	0.025	0	0	0.025	0	0	0.4	0.2	6.675
"1.155.2"	0.175	0	0	0	0	2.95	0.35	0	11.475	1.4	0	0.95	0.3	0.025	0.125	0.85	0	0	0	0.1	0	0	0	0	0	0	0	0.075	0	0	2.1	0.025	2.7	0	0	14.45	0	0.25	48.125	5.775	0.25	0	0	0.475	0	0	0	0.475	0	0	0.025	0	0.3	0	0.05	0	0	4.85	0.65	0.025	0	0.025	0	0	0	0	0	0	0	0.675
"2.52.2"	0	0	0	0	0	0.475	0.4	0	7.9	7.275	0.45	0	0	0	0	0	0	0	0	0.1	0	0.025	0	0	0	0.075	0	1.175	0	0	1.075	0	0	0	0	12.7	0	0.925	12.4	9.775	0	0	0	2.425	0	0	0	0	0	0	0.1	0	0	0	0	0	0	42.225	0.05	0.025	0	0.425	0	0	0	0	0	0	0	0
"1.49.2"	0	0	0	0	0	0.4	0.55	0	41.925	2.6	0	2.775	1.6	1.3	0.875	1.675	0.225	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0	4.1	0.025	0.65	0	0	10.675	0	0.35	25.825	0.95	0.075	0	0.025	0.55	0	0	0	0.025	0	0	1.225	0	0.1	0	0.2	0	0	0.65	0	0	0	0	0	0	0	0	0	0.025	0	0.575
"2.52.1"	0	0	0	0	0	1	0.05	0	1.225	24.525	0.025	0.9	0	0.05	0.125	0	0	0	0	0.15	0	0	0	0.025	0	0	0	0.025	0	0	15.35	0	0	0	0	4.75	0	0	45.275	0.375	0	0	0	0.4	0	0	0	0.025	0	0	3.775	0	0	0	0	0	0	1.85	0.05	0	0	0	0	0	0	0	0	0	0	0.05
"1.506.2"	0	0	0	0	0	1.65	0.225	0	60	10.1	0.375	0.4	0	1	0.425	0.025	0	0	0	0.025	0	0	0	0	0	0	0	0.35	0.05	0	0.55	0.025	0.125	0	0	5.675	0	0.25	15.425	0	0.125	0.075	0	0.125	0	0	0	0	0	0	0.1	0	0	0	0.05	0	0	2.675	0.05	0	0	0.075	0	0	0	0	0	0	0	0.05
"1.97.1"	1.675	0	0	0	0	4.975	0.7	0	9.65	1.075	15.2	3.775	0	0.775	0.925	0.375	0	0	0	0	0	0	0	0.025	0.675	0.075	0	0.675	0	0	3.375	0.65	0.15	0.075	0.025	8.75	0	0.225	28.175	3.225	0.075	0	0	8.925	0	0	0	0	0	0	0.1	0	0	0	0.075	0	0.025	0.3	0	0	0	0	0	0	0	0	0.025	0	0	5.25
"1.7.1"	0	0	0	0	0	1.25	1.3	0	28.4	2.7	0	2.625	0	0.8	0.85	0.625	0.025	0	0	0	0	0	0	0	0	0	0	0.275	0	0	8.625	13.875	0.425	0.075	0.025	4.75	0	0.075	22.35	2.225	0.025	0	0.025	0.95	0	0	0	0.225	0	0	0.725	0	0.125	0	0.775	0	0	0.1	0	0	0	0	0	0	0	0	0	0	1.525	4.25
"1.68.1"	0	0	0	0	0	0	0.35	0	35.275	11.975	0	0	0	4.95	0	1.175	0	0	0	0	0	0	0	0	1.35	0	0	0.075	0	0	0.75	0.025	0.025	0	0.025	7.15	0	0.2	10.375	5.5	0	0	0	1.15	0	0	0	0	0	0	0.85	0	0	0	0.05	0	0	18.725	0	0	0	0.025	0	0	0	0	0	0	0	0
"1.97.2"	0.225	0	0	0	0	3.725	0.6	0	2.675	0	3.925	1.075	0	0.1	0.275	0.1	3.2	0	0	0.05	0	0	0	0	0	0	0	0.45	0	0	10.175	0.175	0.625	0.025	0.075	25.9	0	0.35	34.525	1.6	0.225	0	0	2.525	0	0	0	0	0	0	0.1	0	0	0	0.025	0	0	0.075	0	0	0	0	0	0	0.025	0	0	0	0	7.175
"1.511.2"	0	0	0	0	0	0.425	0.875	0	27.425	0.35	0.125	11.35	1.575	2.875	0.5	0.125	0	0	0	0	0	0.025	0	0	0	0.025	0	0.675	0.025	0	16.85	0.75	1.325	0.075	0	1.95	0	0.05	22.075	0.4	0.025	0	0.075	0.425	0	0	0	0.5	0	0	2.875	0	0	0	0.1	0	0	0.15	0.1	0	0	0.025	0	0	0.025	0	0	0.725	0.275	4.85
"1.121.2"	0	0.025	0	0	0	3.75	0.575	0	2.5	0.675	2.875	0	0	0.05	0	0	0	0	0	0.1	0	0.05	0	0.05	0	0.1	0	0.675	0	0	4.4	0.05	0.1	0	0	21.15	0	0	18.625	3.5	0	0	0	1.025	0	0	0	0	0	0	0.05	0	0	0	0.05	0	0	38.625	0	0.025	0	0.425	0	0	0	0	0	0	0	0.55
"2.510.2"	0.1	0	0	0	0	0.3	0	1.6	4.7	3.75	29.025	0.7	1.9	0.45	0.55	6	0	0	0	0.025	0	0	0	0	0	0	0	0.1	0.025	0	3.35	0.475	0.475	0	0	4.1	0.025	0.15	30.775	4.2	0.025	0	0	0.925	0	0.7	0	0	0	0	0.85	0	0	0	0.575	0	0	2.45	0.25	0	0	0	0	0	0	0	0	0	0.075	1.375
