"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae"	"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae"	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae"	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__"	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae"	"k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae"
"494"	26.375	20.15	2.7	0.35	9.7	0.85	4.925
"502"	40.05	33.925	4.3	0.25	6.925	1.1	4.5
"486"	31.175	50.15	1.525	0	6.625	0.475	3.05
"492"	31.175	25	0.45	0.85	4.1	18	5.2
"490"	35.3	50.275	0.475	0.325	2.05	4.825	4
"418"	51.65	15.55	1.475	0.25	7.625	5.65	2.475
"414"	22.35	26.9	0.275	0.975	7.725	8.475	7.45
"430"	13.95	20.05	0.05	0.35	19.95	5.25	9.375
"482"	47.525	26.275	0.025	0.525	10.475	4.575	2.825
"429"	16.7	22.5	0.225	1.325	10.925	13.825	2.925
"426"	1.225	1.125	47.95	28.225	0.8	0.325	0.125
"442"	30.425	41.375	0.8	5.575	8.625	2.8	2.55
"440"	45.425	15.7	0.65	1.225	5.625	1.5	2.1
"484"	8.425	55.8	5.05	0.1	11.975	4.25	1.825
"478"	42.325	24.275	2.425	0.175	8.65	4.125	6.375
"445"	22.775	36.9	0.05	0.25	16.05	3.5	6.85
"480"	44.65	15.8	2.9	0.2	10.175	15.55	0.775
"434"	11.2	37.55	0.45	0.725	7.125	14.425	9.4
"432"	20.3	29.5	20.05	0.175	15.825	1.425	1.75
"412"	42.6	26.55	1.45	0.2	12.3	2.65	5.1
"411"	28.775	29.7	4.1	0.05	19.25	3.125	2.8
"422"	12.95	42.825	8.7	0.275	9.775	3.075	7.9
"488"	34.575	12.025	0.5	0.025	10.025	9.025	2.2
"438"	0.3	0.4	0	96.875	0.075	0.05	0
"420"	34.2	20.1	2.875	4.175	5.225	2.85	1.25
"476"	1.675	0.725	0.1	78.275	0.2	0.275	1.225
"2.55.1"	19.15	4.275	51.65	3.15	3.175	1.775	0.325
"2.26.1"	51.775	11	3.075	1.925	14.15	1.75	2
"2.52.1"	45.275	4.75	1.225	1.85	15.35	1	0.4
"2.503.1"	18.15	6.825	35.525	1.575	9.925	1.3	0.375
"2.510.1"	11.775	4.9	4.525	47.225	4.725	5.375	5.75
"2.79.1"	28.7	8.2	16.025	1.225	1.825	1.425	1.7
"2.504.1"	11	1.3	75.65	0.825	0.575	0.05	0.15
"2.199.1"	6.275	1.1	65.95	6.575	1.2	0.45	0.3
"2.25.1"	14.9	13	19.9	0.575	21.175	10.125	7.625
"2.76.1"	5.5	3.45	54.625	2.575	0.85	1.175	0.15
"2.45.1"	0.025	0	0.025	96.75	0	0	0
"v3.Len.12"	8.51063829787051	25.7978723404015	4.25531914894025	43.3510638298026	0.797872340426048	8.77659574468053	0
