"494"	"502"	"486"	"492"	"490"	"418"	"414"	"430"	"482"	"429"	"426"	"442"	"440"	"484"	"478"	"445"	"480"	"434"	"432"	"412"	"411"	"422"	"488"	"438"	"420"	"476"	"2.55.1"	"2.26.1"	"2.52.1"	"2.503.1"	"2.510.1"	"2.79.1"	"2.504.1"	"2.199.1"	"2.25.1"	"2.76.1"	"2.45.1"	"v3.Len.12"
"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__"	20.4	33.175	24.15	20.375	24.925	32.4	17.8	9.35	34.8	10.55	0.675	21.025	27.925	5.325	17.375	8.65	38.825	7.425	13.875	27.825	17.525	5.85	15.9	0.15	18.925	0.55	4.825	42.525	1.7	9.6	4.125	18.45	1.425	1.325	10.75	2.475	0	3.9893617021292
"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides"	2.7	4.3	1.525	0.45	0.475	1.475	0.275	0.05	0.025	0.225	47.95	0.8	0.65	5.05	2.425	0.05	2.9	0.45	20.05	1.45	4.1	8.7	0.5	0	2.875	0.1	51.65	3.075	1.225	35.525	4.525	16.025	75.65	65.95	19.9	54.625	0.025	4.25531914893915
"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__"	0.35	0.25	0	0.85	0.3	0.25	0.975	0.35	0.525	1.275	28.175	5.575	1.2	0.1	0.175	0.25	0.15	0.7	0.175	0.2	0.05	0.275	0.025	71.725	2.95	78.025	3.125	1.875	1.85	1.575	47.225	0.975	0.825	6.55	0.575	2.55	96.225	43.0851063829914
"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__"	9.7	6.925	6.625	4.1	2.05	7.625	7.725	19.95	10.475	10.925	0.8	8.625	5.625	11.975	8.65	16.05	10.175	7.125	15.825	12.3	19.25	9.775	10.025	0.075	5.225	0.2	3.175	14.15	15.35	9.925	4.725	1.825	0.575	1.2	21.175	0.85	0	0.79787234042584
"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia"	1.225	4.575	11.1	5.85	18.475	3.325	11.75	5.475	9.125	3.6	0.45	32.55	3.95	34.375	5.225	21.375	8.175	29.675	11.675	7.15	8.725	15.25	3.125	0.275	5.125	0.325	0.225	1.7	0.025	0.75	1.4	1.4	0.15	0.425	2.15	0.475	0	15.9574468084968
"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium"	3.35	4.175	1.925	2.4	3.525	5.75	0.15	0.15	5.275	0.975	0.3	5.2	15.95	2.225	16.1	0.2	1.45	0.85	5.675	8.725	4.15	6.475	12.9	0.125	13.275	1.05	12.85	5.725	43.475	2.75	3.45	2.95	8.25	4	0.875	1.95	0.025	4.5212765957391
"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__"	13.475	20.925	25.325	8.6	19.55	2.275	4	4.025	3.85	4.675	0.325	2.225	5.275	5.55	7.575	2.65	3.425	1.65	4.3	6.075	8.25	5.625	2.825	0.05	4.05	0.15	1.775	3.7	2.025	1.6	0.325	2.075	0.525	0.15	3.325	2	0	7.9787234042584
"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium"	0.85	1.075	0.475	18	4.775	5.65	8.475	5.25	4.575	13.825	0.325	2.8	1.5	4.25	4.1	3.5	15.55	14.425	1.425	2.65	3.125	3.075	9.025	0.05	2.85	0.275	1.775	1.75	1	1.3	5.375	1.425	0.05	0.45	10.125	1.175	0	8.77659574467824
"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus"	2.225	1.05	3.425	6.65	6.075	12.325	3.95	4.025	6.9	4.725	0.25	3.825	1.225	0.675	7.8	13.45	2.525	2.7	0.2	5.425	6.4	0.525	5.175	0.025	1.4	0.05	1.15	3.05	0.05	4.625	3.5	6.325	0.95	0.575	2.575	0.675	0	0
"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus"	3	5.725	6.55	4.25	9.1	3.025	2.375	4.325	3.375	9.95	0.075	1.4	1.075	4.75	2.925	3.65	2.175	3.975	6.175	6.6	5.7	4.075	1.95	0	2.775	0.15	0.15	1	0.175	0.925	0.25	1.575	0.15	0.125	1	0.8	0	1.32978723403973
"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides"	0.875	0.275	0.05	0	0.125	0.175	0	0	0	0.05	11.7	0	0.25	0	0.025	0	0.15	0.1	0.2	0.175	1.25	0	0.15	0.025	0.425	3.2	0.925	0.225	24.525	3.15	4.525	2.4	8.225	3.825	1.475	5.575	0	0
"k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__"	0.25	4.4	1.875	1.725	3.975	2.375	4.15	0.125	2.65	2.375	0.05	1.55	2.075	0.85	6.3	6.5	0.5	3.2	1.525	0.875	2.75	7.9	0.225	0	0.85	0	0.325	2	0	0.225	0.65	1.55	0	0.225	6.975	0.125	0	0
"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]"	0.3	1	1.975	4.2	0.625	1.45	2.65	2.875	4.775	0.875	0.05	2.95	1.575	6.275	2.8	6.575	0.425	1.2	2.475	2.55	1.75	5.15	1.5	0	1.275	0	0.45	1.625	2.3	0.75	2.375	0.25	0.075	0.125	2.425	0.025	0	0.265957446808947
"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella"	7.75	0.95	0.075	0.375	0.075	0	0	0.025	0	0	0.15	0.025	6.175	0.05	3.65	0.025	0.025	1.45	0	0.15	2.075	0	2	0.025	14.375	1.075	4.75	0.65	0.025	0.1	3.225	9.05	0.025	0.025	0.85	0.05	0	0.265957446808947
"k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia"	0	0	1.3	3.025	0	5.3	0	0.175	0	2.775	0	0.275	0.025	0	0.85	0.925	2.9	0.1	4.825	0.525	2.25	0	0.4	0	0	0.025	0.05	6.675	0.05	2.175	0.95	13.175	0	0.025	0	10	0	0
"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister"	0.05	0.225	0	0.975	0	0	0.875	0.525	0.05	5.225	0	1.2	12.8	7.25	0	0.025	0.275	0.9	0.45	0	1.8	0.375	11.375	0	1.4	0.05	5.15	0.6	0	4.175	0	0	0	0	1.375	0.4	0	0
