samples_name,Type 1
461,
527,
421,
454,
418,EKOK_1
332,
464,
401,
459,
390,
309,
348,
414,EKOK_1
360,
338,
394,
350,
392,
430,EKOK_1
467,
357,
323,
466,
435,
482,EKOK_1
507,
361,
333,
369,
447,
409,
481,
349,
324,
356,
391,
451,
456,
448,
474,
415,
450,
347,
462,
368,
429,EKOK_1
375,
387,
336,
372,
458,
509,
413,
485,
463,
404,
431,
351,
371,
382,
355,
389,
452,
397,
426,EKOK_1
334,
442,EKOK_1
424,
344,
374,
440,EKOK_1
484,EKOK_1
449,
400,
512,
478,EKOK_1
487,
479,
352,
406,
445,EKOK_1
489,
472,
508,
398,
402,
345,
511,
477,
443,
383,
453,
403,
304,
504,
480,EKOK_1
510,
434,EKOK_1
353,
384,
437,
465,
377,
419,
385,
337,
439,
506,
432,EKOK_1
441,
386,
395,
412,EKOK_1
388,
408,
411,EKOK_1
335,
405,
407,
308,
396,
379,
322,
366,
370,
422,EKOK_1
513,
320,
393,
475,
380,
325,
364,
423,
342,
488,EKOK_1
378,
354,
346,
376,
305,
410,
367,
526,
416,
358,
381,
306,
359,
438,EKOK_1
483,
339,
420,EKOK_1
427,
365,
343,
340,
476,EKOK_1
444,
455,
457,
514,
433,
515,
446,
428,
473,
307,
528,
529,
468,
321,
469,
