samples_name,Type 1
1.49.1,
1.203.2,
2.55.2,EKOK_2
2.55.1,EKOK_1
2.26.1,EKOK_1
1.155.2,
2.52.2,EKOK_2
1.49.2,
2.52.1,EKOK_1
1.506.2,
1.97.1,
1.7.1,
1.68.1,
1.97.2,
1.511.2,
1.121.2,
2.510.2,EKOK_2
2.503.1,EKOK_1
2.510.1,EKOK_1
1.153.2,
2.503.2,EKOK_2
2.79.2,EKOK_2
1.68.2,
1.506.1,
1.7.2,
1.72.1,
2.79.1,EKOK_1
2.157.2,EKOK_2
1.511.1,
1.121.1,
1.153.1,
2.504.1,EKOK_1
2.26.2,EKOK_2
2.25.2,EKOK_2
2.199.1,EKOK_1
2.504.2,EKOK_2
2.25.1,EKOK_1
2.76.1,EKOK_1
2.76.2,EKOK_2
1.72.2,
2.45.1,EKOK_1
1.203.1,
2.45.2,EKOK_2
1.155.1,
2.199.2,EKOK_2
1.507.1,
1.507.2,
